2013101311,ARI,8.737,5.672,0.75,0.629,33.2,43.25
2013101312,DAL,4.0,2.219,0.7,0.417,37.0,11.833
2013101700,ARI,2.207,3.59,0.667,0.622,21.333,21.9
2013102000,ATL,5.243,4.72,0.667,0.889,48.5,29.5
2013102001,LA,8.235,5.054,0.625,0.714,70.0,28.3
2013102002,DET,3.72,6.06,0.643,0.538,46.5,58.0
2013102004,SD,5.761,2.6,0.778,0.5,128.667,10.4
2013102005,KC,4.227,4.579,0.65,0.714,46.5,34.8
2013102006,MIA,4.286,3.984,0.444,0.586,18.0,27.0
2013102007,NYJ,6.489,3.06,0.647,0.444,58.4,18.636
2013102008,PHI,2.245,5.356,0.44,0.517,13.75,30.125
2013102009,WAS,6.724,5.106,0.667,0.6,39.0,42.125
2013102010,TEN,3.667,5.865,0.667,0.606,22.0,43.571
2013102011,PIT,4.179,3.721,0.667,0.733,39.0,32.0
2013102012,IND,3.6,3.115,0.5,0.517,30.0,13.5
2013102100,NYG,3.688,2.194,0.688,0.5,39.333,9.714
2013102400,TB,4.706,3.239,0.5,0.578,40.0,24.111
2013102700,DET,7.592,7.146,0.68,0.783,53.143,57.167
2013102701,SF,5.593,6.647,0.588,1.0,60.4,56.5
2013102703,MIA,3.508,2.743,0.636,0.429,34.5,16.0
2013102704,BUF,4.231,4.324,0.5,0.579,27.5,30.7
2013102705,NYG,4.714,3.362,0.714,0.606,33.0,26.9
2013102706,LV,5.088,0.263,0.688,0.333,32.222,0.714
2013102707,CIN,7.167,4.7,0.75,0.579,86.0,26.111
2013102708,ATL,2.333,3.523,0.5,0.596,14.0,34.444
2013102709,WAS,3.294,4.5,0.571,0.606,28.0,21.857
2013102800,LA,4.254,4.091,0.5,0.5,31.375,45.0
2013103100,MIA,2.167,4.824,0.5,0.714,13.0,29.818
2013110300,KC,4.333,2.604,0.846,0.5,45.5,17.25
2013110301,ATL,4.318,6.211,0.889,0.833,23.75,29.5
2013110302,MIN,4.422,5.0,0.667,0.765,49.75,27.857
2013110303,NO,5.31,3.625,0.639,0.5,38.5,38.667
2013110304,TEN,4.6,4.894,0.667,0.7,46.0,32.3
2013110305,SD,4.278,5.787,0.5,0.683,38.5,44.125
2013110306,LV,5.162,5.2,0.545,0.52,38.2,34.667
2013110307,SEA,4.182,6.407,0.5,0.85,30.667,57.667
2013110308,CLE,4.457,3.057,0.706,0.545,39.0,20.25
2013110309,PIT,5.575,6.06,0.75,0.559,44.6,50.5
2013110310,HOU,9.8,5.28,0.75,0.586,98.0,39.6
2013110400,GB,5.92,3.956,0.8,0.562,37.0,19.778
2013110700,MIN,5.907,3.583,0.857,0.667,50.8,21.5
2013111000,ATL,2.525,7.667,0.567,0.667,21.286,34.5
2013111001,BAL,3.16,1.667,0.545,0.571,19.75,9.583
2013111002,CHI,4.56,3.859,0.727,0.513,38.0,24.7
2013111003,PHI,5.476,5.636,0.833,0.571,38.333,51.667
2013111004,LA,2.929,5.707,0.5,0.583,41.0,36.778
2013111005,LV,2.95,4.315,0.5,0.474,14.75,29.125
2013111006,PIT,5.288,1.727,0.696,0.375,55.0,8.143
2013111007,TEN,1.111,4.488,0.25,0.692,3.333,26.286
2013111008,SF,2.429,2.442,0.75,0.467,13.6,15.0
2013111009,HOU,4.516,1.764,0.769,0.387,28.0,12.125
2013111010,SD,4.927,3.27,0.529,0.688,45.167,20.167
2013111400,TEN,4.61,5.207,0.769,0.75,47.25,37.75
2013111700,NYJ,2.957,5.729,0.5,0.48,13.6,27.5
2013111701,CHI,3.643,4.327,0.357,0.737,20.4,32.143
2013111702,CIN,4.765,2.838,0.667,0.55,16.2,16.083
2013111703,HOU,4.146,3.98,0.65,0.448,22.111,24.375
2013111705,MIA,5.214,4.523,0.75,0.643,73.0,32.667
2013111706,WAS,4.212,4.949,0.5,0.5,46.333,29.2
2013111707,DET,4.04,5.667,0.5,0.412,50.5,41.556
2013111708,TB,6.588,3.745,0.643,0.846,74.667,25.75
2013111709,KC,1.143,4.048,0.167,0.465,5.333,33.6
2013111710,SF,2.226,3.864,0.571,0.556,13.8,21.25
2013111711,MIN,3.75,4.729,0.571,0.542,37.5,28.375
2013111712,NYG,5.149,3.486,0.667,0.833,48.4,24.4
2013111800,CAR,5.125,4.132,0.667,0.625,41.0,54.75
2013112100,NO,5.654,4.429,0.68,0.75,49.0,93.0
2013112400,NYJ,3.0,2.833,0.5,0.455,20.0,15.111
2013112401,PIT,5.229,2.529,0.778,0.562,36.6,21.5
2013112402,DET,2.357,6.0,0.625,0.625,16.5,38.5
2013112403,GB,4.0,4.319,0.571,0.49,33.333,39.3
2013112404,JAX,4.377,3.083,0.69,0.667,44.5,14.8
2013112405,KC,3.6,5.54,0.667,0.636,24.0,38.778
2013112406,MIA,5.308,2.75,0.706,0.667,29.571,24.2
2013112407,LA,6.538,5.609,0.5,0.438,42.5,36.857
2013112408,ARI,6.75,2.932,0.688,0.625,81.0,19.222
2013112409,LV,3.048,5.686,0.455,0.652,16.0,41.429
2013112410,DAL,3.714,4.353,0.429,0.697,17.333,29.6
2013112411,DEN,2.9,3.99,0.667,0.541,14.5,23.471
2013112500,WAS,1.083,3.5,0.0,0.783,4.333,26.25
2013112800,DET,7.333,5.663,0.75,0.7,66.0,42.0
2013112801,DAL,2.429,4.776,0.545,0.75,17.0,32.0
2013112802,PIT,3.367,5.062,0.562,0.625,33.667,34.714
2013120100,CAR,6.5,5.75,0.571,0.727,29.25,57.5
2013120101,JAX,5.407,2.838,0.75,0.5,29.2,19.3
2013120102,IND,3.146,3.244,0.45,0.667,25.8,16.222
2013120103,KC,7.364,5.171,1.0,0.595,81.0,35.727
2013120104,MIN,0.786,5.935,0.25,0.622,3.667,46.0
2013120105,MIA,5.077,4.644,0.643,0.75,88.0,26.125
2013120106,ARI,5.913,4.533,0.8,0.515,34.0,38.857
2013120107,ATL,4.067,4.043,1.0,0.532,20.333,31.333
2013120108,LA,3.0,5.368,0.4,0.6,22.5,51.0
2013120109,HOU,5.308,5.23,0.6,0.5,34.5,45.571
2013120110,SD,3.4,4.773,0.6,0.618,34.0,35.0
2013120111,WAS,4.817,1.407,0.947,0.462,41.286,7.6
2013120200,NO,1.333,2.923,0.667,0.59,8.0,27.143
2013120500,JAX,4.762,3.545,0.556,0.4,50.0,19.5
2013120800,BAL,3.833,3.404,0.571,0.636,23.0,25.25
2013120802,CLE,4.0,5.649,0.857,0.605,38.0,41.8
2013120803,LV,4.429,4.808,1.0,0.514,15.5,37.5
2013120805,DET,3.4,3.222,0.667,0.391,11.333,18.455
2013120806,PIT,3.739,4.754,0.714,0.588,21.5,36.25
2013120807,TB,7.292,1.825,0.5,0.368,43.75,8.846
2013120808,KC,4.062,4.348,0.6,0.684,32.5,35.875
2013120809,TEN,5.283,-1.364,0.65,0.333,35.0,-7.5
2013120810,LA,3.882,4.176,0.625,0.609,33.0,23.667
2013120811,NYG,6.217,6.214,0.583,0.714,35.75,52.2
2013120812,SEA,5.13,3.136,0.706,0.6,33.714,13.8
2013120813,ATL,6.0,3.173,0.857,0.536,60.0,20.625
2013120900,DAL,4.282,5.786,0.571,0.545,33.4,81.0
2013121200,DEN,4.308,5.133,0.655,0.692,32.0,38.5
2013121500,ATL,4.588,2.657,0.7,0.758,78.0,15.5
2013121501,CHI,7.348,5.825,1.0,0.625,84.5,36.7
2013121502,IND,6.864,2.986,0.8,0.522,75.5,16.308
2013121503,JAX,6.143,4.207,0.667,0.6,21.5,34.5
2013121504,MIA,4.25,5.2,0.727,0.63,39.667,43.333
2013121505,MIN,5.618,3.364,0.696,0.786,61.8,16.444
2013121506,SEA,4.85,3.662,0.875,0.652,32.333,21.667
2013121507,LA,3.429,4.375,0.5,0.722,24.0,28.0
2013121508,TB,1.125,3.246,0.25,0.6,4.5,23.125
2013121509,ARI,4.302,4.0,0.667,0.667,46.25,25.143
2013121510,CAR,5.449,3.111,0.667,-1,47.0,28.0
2013121511,KC,9.75,4.645,0.8,0.762,58.5,26.182
2013121512,DAL,6.439,4.154,0.619,0.607,52.8,27.0
2013121513,PIT,4.0,3.75,1.0,0.826,28.0,33.75
2013121600,DET,4.018,6.25,0.6,0.643,31.571,37.5
2013122200,MIA,1.16,2.738,0.455,0.417,5.8,14.375
2013122201,CAR,2.458,4.667,0.667,0.667,11.8,24.0
2013122202,MIN,0.429,4.769,0.0,0.64,1.5,24.8
